ID,ParentFolder,Filename,ModifiedTime,ACLRole,Type,SizeInBytes,Checksum,SharedStatus,RemovedStatus,SourceFile
16fFKQL3QiGFG19tkJ6jDgZ_VLn_aX9OO,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,132.5e4481b959a26fea51e3.js.download,2018-03-30 04:29:49,Google Drive Owner,Regular File,418,b1cf3033a44c2a35d7c41d2dae765d28,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1iZG0ju7RftDRgayV2PqUwIgutCG_7WXy,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,rev2.min.css,2018-03-30 04:29:49,Google Drive Owner,Regular File,28571,97abbc861ed0920ac9d55413229a34d2,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1f7wKlcJpN4uGmk5Mptbq71j9j_JXBP7L,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,layers.ccbc92d4047235e1c1a9.js.download,2018-03-30 04:29:49,Google Drive Owner,Regular File,271649,5803739a31654b29b797193be1fe3ead,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1BIXuGmXI12iAQ3I2gkPJJNu6G8odEtWk,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,d-opened.jpg,2018-03-30 04:29:49,Google Drive Owner,Regular File,155953,9c825cbb87c1ab5cf42682bc6a9f5ec8,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1Qk1Nz_pqa7J_PxOSZYnuiytaFSvCWQbO,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,animate.min.css,2018-03-30 04:29:49,Google Drive Owner,Regular File,52789,178b651958ceff556cbc5f355e08bbf1,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1ps7762K2OC4oyl7jgyldNPr_3qb0TVYv,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,rev2.min.js.download,2018-03-30 04:29:49,Google Drive Owner,Regular File,228534,7692cbe01d39ff05ff8ac1fb48e80f77,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1Ef0JWafGyEWjrF3-23SfFSNAVJCB1gUg,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,saved_resource,2018-03-30 04:29:50,Google Drive Owner,Regular File,34,86dc1696dbd8ebf781e10fc5ede00646,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1h-4wPRcz_7FLTO_POHv1yseyy5TUevJy,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,css(1),2018-03-30 04:29:50,Google Drive Owner,Regular File,1504,040b2aae9c4e0eb8345467951504dba6,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1PbwC-clyrS2Z_L9m5SrjmyhmRaBJdJjt,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,client.js.download,2018-03-30 04:29:50,Google Drive Owner,Regular File,26765,6c835a70005d91d2d44b442212f7a521,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
13d8RumbUVWddgtuwKqxd0ItG-0TbAwAF,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,load.php,2018-03-30 04:29:50,Google Drive Owner,Regular File,898374,729a656b5e35cec984aa7be79548925d,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
