ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Unassociated,00063a093d3a4fae0b9070e36222deb1094700000904,2019-02-15 05:02:18,46f0f39db5c9cdc5fe123807bb356c87eb08c48e,False,c:\users\joker\dd.exe,dd.exe,.exe,2009-11-02 14:15:58,dcode,461952,4.02.9306,4.02.9306,dd.exe|8bbdf4af3d1b2e53,pe32_i386,True,4.2.0.9306,4.2.0.9306,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:01:22,e86b11544c4d850eb6c8a83af60cc011b697863b,True,c:\windows\system32\devicecensus.exe,devicecensus.exe,.exe,2034-08-30 16:33:15,microsoft® windows® operating system,35232,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,devicecensus.exe|26420fddf94319b3,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:08:02,11327106e4fded18ea439f14cd8c980d711adabe,True,c:\windows\system32\drvinst.exe,drvinst.exe,.exe,1979-06-26 03:05:24,microsoft® windows® operating system,166912,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,drvinst.exe|aa32db6491e404e1,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:01:36,254395abacb14fdaf5d13e9757165efcd48477ce,True,c:\windows\system32\dsmusertask.exe,dsmusertask.exe,.exe,2050-04-17 06:59:27,microsoft® windows® operating system,29696,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,dsmusertask.exe|59c519972e4888d8,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:02:07,7693be70ba30ba9659c028c5c8d8c4c481c2f89f,True,c:\windows\system32\dwm.exe,dwm.exe,.exe,2100-04-21 03:35:51,microsoft® windows® operating system,62464,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,dwm.exe|f848a80c6540ffad,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:02:06,f5d0299140cf98875b07dbd2d892617401dad8b9,True,c:\windows\explorer.exe,explorer.exe,.exe,2005-04-12 02:21:38,microsoft® windows® operating system,3933184,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,explorer.exe|68e882542b88f3ee,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-02-15 03:59:40,210830a72ebef693fc5e4b85af1f49bb19152fe1,True,c:\windows\system32\winbioplugins\facefoduninstaller.exe,facefoduninstaller.exe,.exe,2093-05-10 09:02:53,,437248,,,facefoduninstall|6cde65186a9641de,pe64_amd64,True,,,0,0,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-02-15 04:54:31,b281e9d41e889f4d21ee75ebcee82b111fd126f5,True,c:\windows\system32\oobe\firstlogonanim.exe,firstlogonanim.exe,.exe,2093-01-19 08:27:49,microsoft® windows® operating system,21240,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,firstlogonanim.e|9891757803a5d612,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:02:06,0950dd0f72d2eb578a8609f82ea6d5edbe4a96ff,True,c:\windows\system32\logonui.exe,logonui.exe,.exe,2019-08-15 15:52:04,microsoft® windows® operating system,13312,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,logonui.exe|abe25f7310ce82cc,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-02-15 04:49:16,382008fba9480f6568db3e1f335d080192de62ca,True,c:\windows\system32\mmc.exe,mmc.exe,.exe,2038-12-13 09:43:14,microsoft® windows® operating system,1859584,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,mmc.exe|8471611706ce450b,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0006fc69c87e5d1b342ba6e5bf1acb2c203f00000904,2018-04-25 20:04:18,5b205fc1a25354726677a30b25d8e41b3ef69d84,False,c:\users\ieuser\appdata\local\temp\{4132c0ec-cb45-4ede-a296-92db3fb0a7f6}\mpsigstub.exe,mpsigstub.exe,.exe,1997-10-04 17:36:43,microsoft malware protection,544424,1.1.14146.0,1.1.14146.0,mpsigstub.exe|55d6d8f42379ad34,pe64_amd64,True,1.1.14146.0,1.1.14146.0,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:04:36,71e7c4d5b375079d63fe78c9f34995e82f894ee0,True,c:\program files\windows defender\msascuil.exe,msascuil.exe,.exe,2015-10-04 03:14:30,microsoft® windows® operating system,638872,4.13.17134.1 (winbuild.160101.0800),4.13.17134.1,msascuil.exe|9637c3c81765f9a,pe64_amd64,True,4.13.17134.1,4.13.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-02-15 04:25:55,f2c9eb38775b91c4de45aa25cdddb86f5f056bf5,True,c:\windows\system32\msdt.exe,msdt.exe,.exe,2105-11-06 17:41:08,microsoft® windows® operating system,1560576,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,msdt.exe|56c23008a1717bba,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:08:01,b597fb82a95293426558e63b33b8b66e3d20cf6c,True,c:\windows\system32\msiexec.exe,msiexec.exe,.exe,1988-11-18 08:39:27,windows installer - unicode,66048,5.0.17134.1 (winbuild.160101.0800),5.0.17134.1,msiexec.exe|3560aeebc8ec9db4,pe64_amd64,True,5.0.17134.1,5.0.17134.1,0,1033,
Unassociated,00060995bbd06c6a93d2890567516bfd7e8100000904,2019-02-15 03:47:43,67fb12577cc83803887620d35eab1e5b258ae0a0,False,c:\programdata\microsoft\windows defender\platform\4.14.17639.18041-0\msmpeng.exe,msmpeng.exe,.exe,2047-01-08 17:52:56,microsoft® windows® operating system,104680,4.14.17639.18041 (gitenlistment(winpbld).180413-0659),4.14.17639.18041,msmpeng.exe|4a5566aa942f9b87,pe64_amd64,True,4.14.17639.18041,4.14.17639.18041,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-02-15 03:52:40,5ac6e790ed19fdc66988648cbb22073c4a2719ba,True,c:\program files\windows defender\msmpeng.exe,msmpeng.exe,.exe,2103-01-23 20:36:23,microsoft® windows® operating system,105344,4.13.17134.1 (winbuild.160101.0800),4.13.17134.1,msmpeng.exe|63879835f5c234e3,pe64_amd64,True,4.13.17134.1,4.13.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-02-15 04:36:45,867b54f1bc5b71045a9a00baca485a24176b202c,True,c:\windows\system32\notepad.exe,notepad.exe,.exe,2053-08-13 08:22:26,microsoft® windows® operating system,245760,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,notepad.exe|8a29d0c6d8c68f8e,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,00061df5ed47057901d1d49de84c90c5d92e00000904,2018-04-25 20:04:36,806c50a5a2e0ae1b8b8f97ac19d6a404ed58e12a,False,c:\users\ieuser\appdata\local\microsoft\onedrive\onedrive.exe,onedrive.exe,.exe,2017-03-13 22:58:03,microsoft onedrive,1504888,17.3.6816.0313,17.3.6816.0313,onedrive.exe|b415eef7589474aa,pe32_i386,True,17.3.6816.313,17.3.6816.313,0,1033,
