Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
SpatialGraphFilter,ROOT\ControlSet001\Services,,None,Holographic Spatial Graph Filter,Manual,KernelDriver,2018-04-12 09:20:04.2797163,,PnP Filter,System32\drivers\SpatialGraphFilter.sys,,
SpbCx,ROOT\ControlSet001\Services,,None,Simple Peripheral Bus Support Library,Manual,KernelDriver,2018-04-11 23:38:44.4872494,,,system32\drivers\SpbCx.sys,,
spectrum,ROOT\ControlSet001\Services,"@%systemroot%\system32\spectrum.exe,-102",None,"@%systemroot%\system32\spectrum.exe,-101",Manual,Win32OwnProcess,2018-04-25 20:58:15.8572296,,,%systemroot%\system32\spectrum.exe,,
Spooler,ROOT\ControlSet001\Services,"@%systemroot%\system32\spoolsv.exe,-2",None,"@%systemroot%\system32\spoolsv.exe,-1",Automatic,"Win32OwnProcess, InteractiveProcess",2018-04-11 23:38:44.4872494,,SpoolerGroup,%SystemRoot%\System32\spoolsv.exe,,SeTcbPrivilege SeImpersonatePrivilege SeAuditPrivilege SeChangeNotifyPrivilege SeAssignPrimaryTokenPrivilege SeLoadDriverPrivilege
sppsvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\sppsvc.exe,-100",None,"@%SystemRoot%\system32\sppsvc.exe,-101",Automatic,Win32OwnProcess,2018-04-11 23:39:26.3188349,,,%SystemRoot%\system32\sppsvc.exe,,SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
srv2,ROOT\ControlSet001\Services,"@%systemroot%\system32\srvsvc.dll,-105",None,"@%systemroot%\system32\srvsvc.dll,-104",Manual,FileSystemDriver,2018-04-11 23:38:44.4872494,,Network,System32\DRIVERS\srv2.sys,,
srvnet,ROOT\ControlSet001\Services,,None,,Manual,FileSystemDriver,2018-04-25 19:59:11.8710617,2019-02-15 13:45:12.5202315,Network,System32\DRIVERS\srvnet.sys,,
SSDPSRV,ROOT\ControlSet001\Services,"@%systemroot%\system32\ssdpsrv.dll,-101",None,"@%systemroot%\system32\ssdpsrv.dll,-100",Manual,Win32ShareProcess,2018-04-11 23:38:44.4872494,2018-04-11 23:38:44.4872494,,%SystemRoot%\system32\svchost.exe -k LocalServiceAndNoImpersonation -p,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege
ssh-agent,ROOT\ControlSet001\Services,Agent to hold private keys used for public key authentication.,None,OpenSSH Authentication Agent,Manual,Win32OwnProcess,2018-04-12 09:19:29.5265250,,,%SystemRoot%\System32\OpenSSH\ssh-agent.exe,,SeImpersonatePrivilege
SstpSvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\sstpsvc.dll,-201",None,"@%SystemRoot%\system32\sstpsvc.dll,-200",Manual,Win32ShareProcess,2018-04-11 23:38:44.4872494,2018-04-11 23:38:44.4872494,,%SystemRoot%\system32\svchost.exe -k LocalService -p,,SeChangeNotifyPrivilege SeImpersonatePrivilege
StateRepository,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\windows.staterepository.dll,-2",None,"@%SystemRoot%\system32\windows.staterepository.dll,-1",Manual,Win32ShareProcess,2018-04-11 23:38:44.4872494,,,%SystemRoot%\system32\svchost.exe -k appmodel -p,,SeTcbPrivilege SeIncreaseBasePriorityPrivilege SeCreatePermanentPrivilege SeSecurityPrivilege SeChangeNotifyPrivilege SeImpersonatePrivilege SeCreateGlobalPrivilege SeAssignPrimaryTokenPrivilege SeRestorePrivilege SeTakeOwnershipPrivilege SeBackupPrivilege
stexstor,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2018-04-25 19:59:00.5845675,2018-04-11 23:38:07.2316279,SCSI Miniport,System32\drivers\stexstor.sys,,
stisvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\wiaservc.dll,-10",None,"@%SystemRoot%\system32\wiaservc.dll,-9",Manual,Win32OwnProcess,2018-04-11 23:38:44.4872494,2018-04-11 23:38:44.4872494,,%SystemRoot%\system32\svchost.exe -k imgsvc,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
storahci,ROOT\ControlSet001\Services,,None,"@mshdc.inf,%storahci_ServiceDescription%;Microsoft Standard SATA AHCI Driver",Boot,KernelDriver,2019-02-15 13:45:04.7335000,2018-04-11 23:38:10.1250264,SCSI Miniport,System32\drivers\storahci.sys,,
storflt,ROOT\ControlSet001\Services,,None,"@wstorflt.inf,%service_desc%;Microsoft Hyper-V Storage Accelerator",Boot,KernelDriver,2018-04-25 19:59:00.5845675,2018-04-25 19:59:00.3808252,Extended Base,System32\drivers\vmstorfl.sys,,
stornvme,ROOT\ControlSet001\Services,,None,"@stornvme.inf,%StorNVMe_ServiceDesc%;Microsoft Standard NVM Express Driver",Boot,KernelDriver,2018-04-25 19:59:00.5845675,2018-04-11 23:38:10.8907135,SCSI Miniport,System32\drivers\stornvme.sys,,
