CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
139,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dpnsvr.exe,AppCompatCache,2013-08-22 11:33:50.9988697
0,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\LogonUI.exe,AppCompatCache,2013-08-22 11:32:21.7094617
1,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\VMware\VMware Tools\vmtoolsd.exe,AppCompatCache,2020-03-30 22:46:06.0000000
2,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\vm3dservice.exe,AppCompatCache,2020-03-30 22:49:52.0000000
3,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wbem\WmiPrvSE.exe,AppCompatCache,2013-08-22 11:45:14.6550812
4,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\ServerManager.exe,AppCompatCache,2013-08-22 05:24:32.4697468
5,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\dllhost.exe,AppCompatCache,2013-08-22 05:21:45.4875089
6,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\explorer.exe,AppCompatCache,2014-03-21 18:49:21.5792865
7,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\userinit.exe,AppCompatCache,2013-08-22 10:03:12.8467176
8,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\taskhost.exe,AppCompatCache,2014-03-21 18:49:02.0636207
9,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\ServerManagerLauncher.exe,AppCompatCache,2013-08-22 11:13:57.1549597
10,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\taskhostex.exe,AppCompatCache,2014-03-21 18:49:02.0479774
11,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\VMware\VMware Tools\VMwareResolutionSet.exe,AppCompatCache,2020-03-30 22:45:52.0000000
12,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wbem\WMIADAP.exe,AppCompatCache,2013-08-22 11:44:42.5740259
13,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wbem\WmiApSrv.exe,AppCompatCache,2013-08-22 09:48:06.8209390
14,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\sppsvc.exe,AppCompatCache,2014-03-21 18:49:10.4074122
15,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\VSSVC.exe,AppCompatCache,2014-03-21 18:49:03.6729386
16,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\msdtc.exe,AppCompatCache,2013-08-22 09:40:46.2678384
17,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dllhost.exe,AppCompatCache,2013-08-22 12:35:25.3750709
18,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\svchost.exe,AppCompatCache,2013-08-22 12:45:17.9041279
