CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
134,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,AppCompatCache,2018-04-11 23:35:19.7323538
135,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,AppCompatCache,2018-04-11 23:35:16.9665218
136,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\AppData\Local\Temp\chocolatey\chocInstall\7za.exe,AppCompatCache,2018-04-25 20:05:11.7768480
137,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\dashost.exe,AppCompatCache,2018-04-11 23:34:12.4738923
138,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\platform\4.14.17639.18041-0\NisSrv.exe,AppCompatCache,2018-04-25 20:04:27.9840000
139,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\platform\4.14.17639.18041-0\MpCmdRun.exe,AppCompatCache,2018-04-25 20:04:27.8750000
140,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\platform\4.14.17639.18041-0\MsMpEng.exe,AppCompatCache,2018-04-25 20:04:27.9220000
141,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\AppData\Local\Temp\{E31FE198-3BE1-45F3-874A-199A037AB95D}\MpSigStub.exe,AppCompatCache,2018-04-25 20:04:27.9060000
142,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\platform\4.14.17613.18039-0\NisSrv.exe,AppCompatCache,2018-04-25 20:04:11.2500000
143,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.Wallet_2.1.18009.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2018-04-25 19:59:43.9181348
144,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\AppData\Local\Temp\{4132C0EC-CB45-4EDE-A296-92DB3FB0A7F6}\MpSigStub.exe,AppCompatCache,2018-04-25 20:04:18.4060000
145,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\platform\4.14.17613.18039-0\MpCmdRun.exe,AppCompatCache,2018-04-25 20:04:11.1250000
146,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\platform\4.14.17613.18039-0\MsMpEng.exe,AppCompatCache,2018-04-25 20:04:11.1720000
