BatchKeyPath,BatchValueName,Name,Description,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
ROOT\ControlSet001\Services,None,usbehci,,"@usbport.inf,%EHCIMP.SvcDesc%;Microsoft USB 2.0 Enhanced Host Controller Miniport Driver",Manual,KernelDriver,2018-03-27 21:45:39.8384190,,Base,\SystemRoot\System32\drivers\usbehci.sys,,
ROOT\ControlSet001\Services,None,usbhub,,"@usbport.inf,%ROOTHUB.SvcDesc%;Microsoft USB Standard Hub Driver",Manual,KernelDriver,2018-03-27 21:45:41.3072189,,Base,\SystemRoot\System32\drivers\usbhub.sys,,
ROOT\ControlSet001\Services,None,USBHUB3,,"@usbhub3.inf,%UsbHub3.SVCDESC%;SuperSpeed Hub",Manual,KernelDriver,2018-03-27 21:45:41.8072364,2018-03-27 09:55:48.4485779,Base,\SystemRoot\System32\drivers\UsbHub3.sys,,
ROOT\ControlSet001\Services,None,usbohci,,"@usbport.inf,%OHCIMP.SvcDesc%;Microsoft USB Open Host Controller Miniport Driver",Manual,KernelDriver,2017-09-29 13:46:26.4440336,,Base,\SystemRoot\System32\drivers\usbohci.sys,,
ROOT\ControlSet001\Services,None,usbprint,,"@usbprint.inf,%USBPRINT.SvcDesc%;Microsoft USB PRINTER Class",Manual,KernelDriver,2017-09-29 13:46:06.7705716,,extended base,\SystemRoot\System32\drivers\usbprint.sys,,
ROOT\ControlSet001\Services,None,usbser,,"@usbser.inf,%UsbSerial.DriverDesc%;Microsoft USB Serial Driver",Manual,KernelDriver,2017-09-29 13:46:19.5684776,,,\SystemRoot\System32\drivers\usbser.sys,,
ROOT\ControlSet001\Services,None,USBSTOR,,"@usbstor.inf,%USBSTOR.SvcDesc%;USB Mass Storage Driver",Manual,KernelDriver,2018-03-27 21:45:44.5590515,,,\SystemRoot\System32\drivers\USBSTOR.SYS,,
ROOT\ControlSet001\Services,None,usbuhci,,"@usbport.inf,%UHCIMP.SvcDesc%;Microsoft USB Universal Host Controller Miniport Driver",Manual,KernelDriver,2017-09-29 13:46:26.4909099,,Base,\SystemRoot\System32\drivers\usbuhci.sys,,
ROOT\ControlSet001\Services,None,usbvideo,,"@usbvideo.inf,%USBVideo.SvcDesc%;USB Video Device (WDM)",Manual,KernelDriver,2018-03-27 21:45:44.3120812,,,\SystemRoot\System32\Drivers\usbvideo.sys,,
ROOT\ControlSet001\Services,None,USBXHCI,,"@usbxhci.inf,%PCI\CC_0C0330.DeviceDesc%;USB xHCI Compliant Host Controller",Manual,KernelDriver,2018-03-27 21:45:39.8384190,2018-03-27 12:13:13.5254330,,\SystemRoot\System32\drivers\USBXHCI.SYS,,
ROOT\ControlSet001\Services,None,UserDataSvc,"@%SystemRoot%\system32\UserDataAccessRes.dll,-14000","@%SystemRoot%\system32\UserDataAccessRes.dll,-14001",Manual,96,2017-09-29 13:47:44.6844405,2017-09-29 13:47:03.7907388,,%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup,,SeImpersonatePrivilege SeCreateGlobalPrivilege
ROOT\ControlSet001\Services,None,UserDataSvc_1d05b,"@%SystemRoot%\system32\UserDataAccessRes.dll,-14000",UserDataSvc_1d05b,Manual,224,2018-03-27 21:45:45.0127380,,,C:\Windows\system32\svchost.exe -k UnistackSvcGroup,,
ROOT\ControlSet001\Services,None,UserManager,"@%systemroot%\system32\usermgr.dll,-101","@%systemroot%\system32\usermgr.dll,-100",Automatic,Win32ShareProcess,2017-09-29 13:47:44.6844405,2017-09-29 13:47:03.7907388,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,,SeTcbPrivilege SeImpersonatePrivilege SeAuditPrivilege SeChangeNotifyPrivilege SeBackupPrivilege SeRestorePrivilege SeAssignPrimaryTokenPrivilege SeTakeOwnershipPrivilege SeDebugPrivilege
ROOT\ControlSet001\Services,None,UsoSvc,"@%systemroot%\system32\usocore.dll,-102","@%systemroot%\system32\usocore.dll,-101",Manual,Win32ShareProcess,2018-03-27 23:34:45.6356827,2017-09-29 13:47:03.7907388,,%systemroot%\system32\svchost.exe -k netsvcs,,
ROOT\ControlSet001\Services,None,VaultSvc,"@%SystemRoot%\system32\vaultsvc.dll,-1004","@%SystemRoot%\system32\vaultsvc.dll,-1003",Manual,Win32ShareProcess,2017-09-29 13:47:44.6844405,2018-03-27 13:10:49.1418618,,%SystemRoot%\system32\lsass.exe,,SeTcbPrivilege SeTakeOwnershipPrivilege
ROOT\ControlSet001\Services,None,vdrvroot,,"@vdrvroot.inf,%vdrvroot_svcdesc%;Microsoft Virtual Drive Enumerator",Boot,KernelDriver,2018-03-27 21:45:39.6196611,2018-03-27 12:11:28.9940351,Boot Bus Extender,System32\drivers\vdrvroot.sys,,
ROOT\ControlSet001\Services,None,vds,"@%SystemRoot%\system32\vds.exe,-112","@%SystemRoot%\system32\vds.exe,-100",Manual,Win32OwnProcess,2017-09-29 13:47:44.6844405,,,%SystemRoot%\System32\vds.exe,,
ROOT\ControlSet001\Services,None,VerifierExt,,"@%SystemRoot%\system32\drivers\VerifierExt.sys,-1000",Manual,KernelDriver,2017-09-29 13:47:03.7907388,,WdfLoadGroup,system32\drivers\VerifierExt.sys,,
ROOT\ControlSet001\Services,None,vhdmp,,,Manual,KernelDriver,2018-03-27 09:55:48.4485779,2018-03-27 09:55:48.4485779,SCSI miniport,\SystemRoot\System32\drivers\vhdmp.sys,,
ROOT\ControlSet001\Services,None,vhf,"@%SystemRoot%\system32\drivers\vhf.sys,-101","@%SystemRoot%\system32\drivers\vhf.sys,-100",Manual,KernelDriver,2017-09-29 13:47:44.6844405,,Base,\SystemRoot\System32\drivers\vhf.sys,,
ROOT\ControlSet001\Services,None,vmbus,,"@wvmbus.inf,%vmbus.SVCDESC%;Virtual Machine Bus",Boot,KernelDriver,2018-03-27 09:56:17.4792603,2018-03-27 12:11:29.0096625,System Bus Extender,System32\drivers\vmbus.sys,,
ROOT\ControlSet001\Services,None,VMBusHID,,,Manual,KernelDriver,2018-03-27 09:55:48.4485779,,Extended Base,\SystemRoot\System32\drivers\VMBusHID.sys,,
ROOT\ControlSet001\Services,None,vmgid,,"@wvmgid.inf,%VmGid.SVCDESC%;Microsoft Hyper-V Guest Infrastructure Driver",Manual,KernelDriver,2018-03-27 09:55:48.4485779,,,\SystemRoot\System32\drivers\vmgid.sys,,
ROOT\ControlSet001\Services,None,vmicguestinterface,"@%systemroot%\system32\icsvc.dll,-802","@%systemroot%\system32\icsvc.dll,-801",Manual,Win32ShareProcess,2017-09-29 13:47:44.6844405,2017-09-29 13:47:03.7907388,,%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeChangeNotifyPrivilege
ROOT\ControlSet001\Services,None,vmicheartbeat,"@%systemroot%\system32\icsvc.dll,-102","@%systemroot%\system32\icsvc.dll,-101",Manual,Win32ShareProcess,2017-09-29 13:47:44.6844405,2017-09-29 13:47:03.7907388,,%systemroot%\system32\svchost.exe -k ICService -p,,SeChangeNotifyPrivilege
ROOT\ControlSet001\Services,None,vmickvpexchange,"@%systemroot%\system32\icsvc.dll,-202","@%systemroot%\system32\icsvc.dll,-201",Manual,Win32ShareProcess,2017-09-29 13:47:44.6844405,2017-09-29 13:47:03.7907388,,%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeChangeNotifyPrivilege
ROOT\ControlSet001\Services,None,vmicrdv,"@%systemroot%\system32\icsvcext.dll,-602","@%systemroot%\system32\icsvcext.dll,-601",Manual,Win32ShareProcess,2017-09-29 13:47:44.6844405,2017-09-29 13:47:03.7907388,,%systemroot%\system32\svchost.exe -k ICService -p,,SeChangeNotifyPrivilege SeBackupPrivilege SeRestorePrivilege SeTakeOwnershipPrivilege SeManageVolumePrivilege SeCreateSymbolicLinkPrivilege SeShutdownPrivilege
ROOT\ControlSet001\Services,None,vmicshutdown,"@%systemroot%\system32\icsvc.dll,-302","@%systemroot%\system32\icsvc.dll,-301",Manual,Win32ShareProcess,2017-09-29 13:47:44.6844405,2017-09-29 13:47:03.7907388,,%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeChangeNotifyPrivilege SeShutdownPrivilege SeTcbPrivilege SeImpersonatePrivilege
