Version,BatchKeyPath,KeyName,BatchValueName,Path,CreatedOn,LastStart,LastStop,TaskState,LastActionResult,Source,Description,SecurityDescriptor,Author
3,,{3C0B9BA7-7D02-4CCC-AE36-5E5F3CD1F9A3},,\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan,2018-03-27 12:11:54.0718478,,,0,0,"$(@%systemroot%\system32\discan.dll,-601)","$(@%systemroot%\system32\discan.dll,-602)",D:AI(A;;FA;;;BA)(A;;FA;;;SY)(A;;FRFX;;;LS)(A;;FR;;;AU),"$(@%systemroot%\system32\discan.dll,-600)"
3,,{3C336B7D-4F6B-4B02-8478-EAD76B10C9AD},,\Microsoft\Windows\User Profile Service\HiveUploadTask,2018-03-27 12:11:56.0070447,,,0,0,"$(@%SystemRoot%\system32\profsvc,-500)","$(@%SystemRoot%\system32\profsvc,-501)",D:P(A;;FA;;;BA)(A;;FA;;;SY),"$(@%SystemRoot%\system32\profsvc,-500)"
3,,{4028F806-9647-43EC-87FA-8B810DFD9141},,\Microsoft\Windows\DiskFootprint\StorageSense,2018-03-27 12:11:56.0226699,,,0,0,,,,
3,,{4296989E-CB82-465D-9B7A-E709F8492C99},,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated),2018-03-27 12:11:54.4468597,,,0,0,,"$(@%systemRoot%\System32\msdrm.dll,-6002)",D:(A;;FA;;;BA)(A;;FA;;;SY)(A;;FRFX;;;WD),"$(@%systemRoot%\System32\msdrm.dll,-6001)"
3,,{43027CE9-4016-4145-93E0-BAECC8E89B94},,\Microsoft\Windows\Device Setup\Metadata Refresh,2018-03-23 12:11:56.0695470,,,0,0,"$(@%SystemRoot%\System32\DeviceSetupManager.dll,-601)","$(@%SystemRoot%\System32\DeviceSetupManager.dll,-602)",D:P(A;;FRFX;;;BA)(A;;FA;;;SY),"$(@%SystemRoot%\System32\DeviceSetupManager.dll,-600)"
3,,{4517DBBD-42D9-439E-B523-2294724133D2},,\Microsoft\Windows\TPM\Tpm-HASCertRetr,2018-03-27 12:11:56.0695470,,,0,0,"$(@%SystemRoot%\system32\TpmTasks.dll,-601)","$(@%SystemRoot%\system32\TpmTasks.dll,-605)",D:P(A;;FA;;;BA)(A;;FA;;;SY),"$(@%SystemRoot%\system32\TpmTasks.dll,-600)"
3,,{483FAC9D-5977-47EF-80D1-80E063A3AAAB},,\Microsoft\Windows\AppID\PolicyConverter,2018-03-27 12:11:56.0851725,,,0,0,"$(@%systemroot%\system32\appidsvc.dll,-300)","$(@%systemroot%\system32\appidsvc.dll,-302)",D:(A;;FA;;;BA)(A;;FA;;;SY)(A;CI;FA;;;LS)(A;CI;FA;;;S-1-5-80-2078495744-2416903469-4072184685-3943858305-976987417),"$(@%systemroot%\system32\appidsvc.dll,-301)"
3,,{4A52E557-CBD2-4032-A8DF-42811A3A773D},,\Microsoft\Windows\USB\Usb-Notifications,2018-03-27 12:11:56.1007977,,,0,0,,"$(@%SystemRoot%\system32\usbtask.dll,-602)",O:BAG:BAD:(A;OICI;FA;;;BA)(A;OICI;FA;;;SY)(A;;FR;;;IU),"$(@%SystemRoot%\system32\usbtask.dll,-600)"
3,,{4FC5FA4E-102D-41FF-AD93-38654F2D12F2},,\microsoft\windows\applicationdata\appuriverifierinstall,2018-03-27 12:11:56.1164248,,,0,0,"$(@%systemroot%\system32\AppHostRegistrationVerifier.exe,-10005)","$(@%systemroot%\system32\AppHostRegistrationVerifier.exe,-10002)",D:(A;;FA;;;SY)(A;;FRFX;;;BA)(A;;FRFX;;;AU)(A;;FRFX;;;IU),"$(@%systemroot%\system32\AppHostRegistrationVerifier.exe,-10004)"
3,,{5066CE53-F6C1-482A-94A5-9F8B8E77E9EF},,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual),2018-03-27 12:11:54.4781112,,,0,0,,"$(@%systemRoot%\System32\msdrm.dll,-6003)",D:(A;;FA;;;BA)(A;;FA;;;SY)(A;;FRFX;;;WD),"$(@%systemRoot%\System32\msdrm.dll,-6001)"
3,,{5267392F-5BB8-45A6-AD93-10211E2F8850},,\Microsoft\Windows\SpacePort\SpaceManagerTask,2018-03-27 12:11:54.0874737,,,0,0,"$(@%SystemRoot%\system32\spaceman.exe,-1)","$(@%SystemRoot%\system32\spaceman.exe,-3)",D:(A;;FA;;;BA)(A;;FA;;;SY),"$(@%SystemRoot%\system32\spaceman.exe,-2)"
3,,{545B5BF9-3D17-4EC0-8F78-A08C9F56FBCF},,\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents,2018-03-27 12:11:56.1320496,,,0,0,"$(@%SystemRoot%\system32\MemoryDiagnostic.dll,-601)","$(@%SystemRoot%\system32\MemoryDiagnostic.dll,-603)",D:P(A;;FA;;;BA)(A;;FA;;;SY)(A;;FR;;;AU),"$(@%SystemRoot%\system32\MemoryDiagnostic.dll,-600)"
