Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
Netlogon,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\System32\netlogon.dll,-103",None,"@%SystemRoot%\System32\netlogon.dll,-102",Manual,Win32ShareProcess,2008-01-19 11:37:29.7779428,2008-01-19 11:37:29.9963442,MS_WindowsRemoteValidation,%systemroot%\system32\lsass.exe,,
Netman,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\system32\netman.dll,-110",None,"@%SystemRoot%\system32\netman.dll,-109",Manual,Win32ShareProcess,2008-01-19 11:37:29.7779428,2008-01-19 11:37:29.7779428,,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted,,SeImpersonatePrivilege SeChangeNotifyPrivilege
netprofm,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\system32\netprof.dll,-247",None,"@%SystemRoot%\system32\netprof.dll,-246",Automatic,Win32ShareProcess,2015-08-24 06:54:23.2656250,2008-01-19 11:37:29.7779428,,%SystemRoot%\System32\svchost.exe -k LocalService,,SeImpersonatePrivilege SeChangeNotifyPrivilege
NetTcpPortSharing,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%systemroot%\Microsoft.NET\Framework\v3.0\Windows Communication Foundation\ServiceModelInstallRC.dll,-8200",None,"@%systemroot%\Microsoft.NET\Framework\v3.0\Windows Communication Foundation\ServiceModelInstallRC.dll,-8201",Disabled,Win32ShareProcess,2015-08-23 21:26:04.4693750,,,"""%systemroot%\Microsoft.NET\Framework\v3.0\Windows Communication Foundation\SMSvcHost.exe""",,SeCreateGlobalPrivilege
nfrd960,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:53.8125000,2008-01-19 11:37:29.7779428,SCSI Miniport,\SystemRoot\system32\drivers\nfrd960.sys,,
NlaSvc,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\System32\nlasvc.dll,-2",None,"@%SystemRoot%\System32\nlasvc.dll,-1",Automatic,Win32ShareProcess,2008-01-19 11:37:34.5671735,2008-01-19 11:49:26.8274004,,%SystemRoot%\System32\svchost.exe -k NetworkService,,SeCreateGlobalPrivilege SeImpersonatePrivilege SeAuditPrivilege
Npfs,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,System,FileSystemDriver,2015-09-13 04:18:01.5625000,,File system,,,
nsi,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\system32\nsisvc.dll,-201",None,"@%SystemRoot%\system32\nsisvc.dll,-200",Automatic,Win32ShareProcess,2008-01-19 11:37:29.7779428,2008-01-19 11:37:31.4003532,,%systemroot%\system32\svchost.exe -k LocalService,,SeCreateGlobalPrivilege SeImpersonatePrivilege
nsiproxy,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,NSI proxy service,None,NSI proxy service,System,KernelDriver,2015-09-13 04:18:01.5625000,,,system32\drivers\nsiproxy.sys,,
NTDS,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,Adapter,2008-01-19 11:37:29.7779428,,,,,
